ds,y
2020-12-18,42425563276.03
2020-12-17,5753623939.81
2020-12-16,3291105558.16
2020-12-15,4860150564.3
2020-12-14,2580341201.64
2020-12-11,1190727715.36
2020-12-10,1743583805.12
2020-12-09,1454846739.7
2020-12-08,1820723008.29
2020-12-07,1678993034.91
2020-12-04,1545994559.49
2020-12-03,6170344967.66
2020-12-02,1362788773.81
2020-12-01,1676632221.42
2020-11-30,29950752610.35
2020-11-27,4182236844.67
2020-11-26,1762013495.03
2020-11-25,21681388301.43
2020-11-24,3468337157.02
2020-11-23,4335535295.29
2020-11-20,22468153352.4
2020-11-19,17234781775.44
2020-11-18,3052023903.21
2020-11-17,2036589962.2
2020-11-16,2785558771.05
2020-11-13,2414235835.51
2020-11-12,1703683753.77
2020-11-11,1421151562.41
2020-11-10,2556614110.23
2020-11-09,1268883580.02
2020-11-06,1353403019.61
2020-11-05,2644650904.98
2020-11-04,1402069254.83
2020-11-03,2025691374.35
2020-10-30,38788403397.74
2020-10-29,5565251092.74
2020-10-28,2851528227.89
2020-10-27,1930763591.85
2020-10-26,2054891310.68
2020-10-23,21779336138.92
2020-10-22,2759031731.53
2020-10-21,2053685820.98
2020-10-20,39988471737.19
2020-10-19,5553815599.36
2020-10-16,2039249574.71
2020-10-15,3945920750.84
2020-10-14,1606031150.15
2020-10-13,1872313552.33
2020-10-09,1638067020.36
2020-10-08,969068638.52
2020-10-07,1571380752
2020-10-06,1158183278.94
2020-10-05,2841637545.82
2020-10-02,884024773.32
2020-10-01,1327270948.9
2020-09-30,24870424427.88
2020-09-29,3673478088.61
2020-09-28,2145059632.89
2020-09-25,16228508845.64
2020-09-24,2545656039.38
2020-09-23,2807803048.99
2020-09-22,1223384385.44
2020-09-21,8552503294.08
2020-09-18,26669655834.01
2020-09-17,3584903751.76
2020-09-16,2202861711.86
2020-09-15,2921537676.74
2020-09-14,2165738574.57
2020-09-11,1065582374.05
2020-09-10,1952544802.49
2020-09-09,1068103492.44
2020-09-08,1227724840.98
2020-09-04,1063341005.63
2020-09-03,2235932080.93
2020-09-02,1126297544.31
2020-09-01,1372831177.02
2020-08-31,23465677602.06
2020-08-28,3034379361.72
2020-08-27,1579447011.74
2020-08-26,1719813671.2
2020-08-25,20186927490.33
2020-08-24,2969721749.93
2020-08-21,1497951829.69
2020-08-20,37362643260.46
2020-08-19,4729542374.98
2020-08-18,2152433952.24
2020-08-17,2008106270.89
2020-08-14,2344115549.9
2020-08-13,1759162445.53
2020-08-12,1037494640.27
2020-08-11,943582851.4
2020-08-10,1552157093.03
2020-08-07,1075730490.23
2020-08-06,1136270530.87
2020-08-05,2039439765.45
2020-08-04,890888001.42
2020-08-03,1398013856.59
2020-07-31,28755038748.25
2020-07-30,4845827499.26
2020-07-29,2189038973.26
2020-07-28,1911207331.34
2020-07-27,1619978253.48
2020-07-24,11513855140.92
2020-07-23,3231579907.83
2020-07-22,1602731592.46
2020-07-21,1347223331.9
2020-07-20,30928100196.83
2020-07-17,2915997958.94
2020-07-16,1633994025.2
2020-07-15,2934584577.25
2020-07-14,1769984793.24
2020-07-13,1164158345.37
2020-07-10,1454803136.64
2020-07-09,710915562.52
2020-07-08,887240496.07
2020-07-07,1070700605.26
2020-07-06,1049368863.38
2020-07-03,2220634974.87
2020-07-02,972207532.16
2020-07-01,1169197999.89
2020-06-30,20470763772.81
2020-06-29,4011454507.44
2020-06-26,1785130523.43
2020-06-25,4878299109.87
2020-06-24,3002139193.43
2020-06-23,1451736583.33
2020-06-22,2081706247.49
2020-06-19,18646846315.1
2020-06-18,2923126093.98
2020-06-17,1479362663.91
2020-06-16,1929305466.11
2020-06-15,2454506216.13
2020-06-12,1155974675.25
2020-06-10,1557296886.09
2020-06-09,781315908.27
2020-06-08,830825972.55
2020-06-05,912000230.53
2020-06-04,888420272.89
2020-06-03,4591127006.28
2020-06-02,856692124.67
2020-06-01,1290413146.56
2020-05-29,15484366804.75
2020-05-28,2548962196.5
2020-05-27,1355491696.03
2020-05-26,1262214705.76
2020-05-25,4277508396.62
2020-05-22,2701770186.21
2020-05-21,1003330419.27
2020-05-20,15815791640.53
2020-05-19,6698154847.19
2020-05-18,1671689955.36
2020-05-15,2246492870.26
2020-05-14,922842823.37
2020-05-13,1922779361.53
2020-05-12,950428206.79
2020-05-11,935036646.08
2020-05-08,1252397317.7
2020-05-07,1124120176.63
2020-05-06,3493723982.54
2020-05-05,1527368969.88
2020-05-04,1512536706.08
2020-04-30,31361102120.57
2020-04-29,3593907833.39
2020-04-28,2102318041.2
2020-04-27,1860804891.95
2020-04-24,6238244108.05
2020-04-23,1320942626.59
2020-04-22,1934878907.25
2020-04-20,21711619599.48
2020-04-17,4341064163.28
2020-04-16,1604726343.92
2020-04-15,5518395187.23
2020-04-14,1045793378.44
2020-04-13,1276659221.45
2020-04-09,1981778070.64
2020-04-08,771097639.95
2020-04-07,1005451996.17
2020-04-06,1006418813.02
2020-04-03,2708843266.48
2020-04-02,850021009.37
2020-04-01,1214050745.6
2020-03-31,19877949133.53
2020-03-30,3650207442.22
2020-03-27,1364206467.64
2020-03-26,1059604419.43
2020-03-25,12850591415.51
2020-03-24,2058016648.27
2020-03-23,1836686186.38
2020-03-20,30259949077.79
2020-03-19,4092347402.05
2020-03-18,2670973925.6
2020-03-17,1665884511.26
2020-03-16,1664331053.44
2020-03-13,4395783727.57
2020-03-12,1321400047.66
2020-03-11,1108548535.48
2020-03-10,1457231509.8
2020-03-09,1666667457.07
2020-03-06,1214852619.32
2020-03-05,1111389637.53
2020-03-04,2492369337.57
2020-03-03,999260559.38
2020-03-02,1283969722.82
2020-02-28,21821804949.61
2020-02-27,5305533029.12
2020-02-26,1869815967.63
2020-02-21,15558018993.26
2020-02-20,34105230999.84
2020-02-19,6264926561.51
2020-02-18,2296585271.44
2020-02-17,2565261066.35
2020-02-14,1513058749.01
2020-02-13,3206998982.5
2020-02-12,1067752747.47
2020-02-11,816150213.74
2020-02-10,1502581562.9
2020-02-07,1416102382.86
2020-02-06,935573088.43
2020-02-05,3109234236.1
2020-02-04,1292001136.62
2020-02-03,1265335670.71
2020-01-31,55548270091.62
2020-01-30,8024634617.46
2020-01-29,3351387453.82
2020-01-28,2358111116.06
2020-01-27,1944475773.08
2020-01-24,18498041476.42
2020-01-23,4307784556.68
2020-01-22,1846217577.49
2020-01-21,2439570416.18
2020-01-20,34540747758.93
2020-01-17,8774488242.96
2020-01-16,2101060817.48
2020-01-15,5018093330.36
2020-01-14,1234492551.98
2020-01-13,1373851162.16
2020-01-10,1694315100.82
2020-01-09,1415214986.09
2020-01-08,1293220642.07
2020-01-07,1438981631.21
2020-01-06,5817665019.87
2020-01-03,1152734052.62
2020-01-02,1212912823.38
2019-12-31,4042789014.83
2019-12-30,13237947909.87
2019-12-27,4754976882.12
2019-12-26,4635507253.99
2019-12-24,6646500839.76
2019-12-23,9811142515.57
2019-12-20,45269393279.33
2019-12-19,6491180777.95
2019-12-18,3821560785.58
2019-12-17,2437698191.64
2019-12-16,2425369835.49
2019-12-13,5447898919.79
2019-12-12,1630802245.35
2019-12-11,1401032615.86
2019-12-10,1666492220.72
2019-12-09,1495456373.59
2019-12-06,1639739518.11
2019-12-05,1116844846.59
2019-12-04,8680048520.83
2019-12-03,1403196175.14
2019-12-02,1898368094.27
2019-11-29,27228101594.31
2019-11-28,3233637554.58
2019-11-27,1761659522.64
2019-11-26,1296599852.99
2019-11-25,19887035981.25
2019-11-22,2227250923.75
2019-11-21,3853003775.61
2019-11-20,14485019819.26
2019-11-19,18771146495.48
2019-11-18,3468853989.8
2019-11-14,1963966565.36
2019-11-13,3302166700.22
2019-11-12,1773810554.29
2019-11-11,1040383796.81
2019-11-08,1537818826.67
2019-11-07,1398413526.14
2019-11-06,1066367563.21
2019-11-05,3522535404.35
2019-11-04,1023502592.42
2019-11-01,967984532.59
2019-10-31,34945696449.34
2019-10-30,4889650753.12
2019-10-29,2455776794.92
2019-10-28,1753983430.75
2019-10-25,16060612300.31
2019-10-24,2145713322.32
2019-10-23,3081730202.31
2019-10-22,1363054482.09
2019-10-21,7323840830.01
2019-10-18,27720052170.07
2019-10-17,3305175813.96
2019-10-16,1630087785.73
2019-10-15,4036221791.17
2019-10-14,2189819179.67
2019-10-11,874652254.88
2019-10-10,1467332243.75
2019-10-09,1005165234.87
2019-10-08,1058503183.3
2019-10-07,1617990074.96
2019-10-04,877529806.78
2019-10-03,2640985114.93
2019-10-02,1023418149.62
2019-10-01,1105307913.61
2019-09-30,21682832599.84
2019-09-27,2553134913.73
2019-09-26,1370418118.3
2019-09-25,18044133777.68
2019-09-24,2318153089.4
2019-09-23,2403158295.56
2019-09-20,29490783036
2019-09-19,5105198788.47
2019-09-18,1972700395.66
2019-09-17,1221341104.99
2019-09-16,1710160736.5
2019-09-13,4216888188.02
2019-09-12,924609098.48
2019-09-11,1183723323.04
2019-09-10,1426785966.54
2019-09-09,1199387303.07
2019-09-06,978230765.34
2019-09-05,1264459409.65
2019-09-04,3200827701.8
2019-09-03,857409659.63
2019-09-02,1245225073.26
2019-08-30,26293127817.94
2019-08-29,2989743604.05
2019-08-28,1476371713.32
2019-08-27,1258214028.18
2019-08-26,1369079665.86
2019-08-23,17701210643.37
2019-08-22,1878391033.41
2019-08-21,1667530700.24
2019-08-20,32614568752.83
2019-08-19,4510158156.66
2019-08-16,1511706077.56
2019-08-15,1469049967.83
2019-08-14,3899887870.62
2019-08-13,1002254269.1
2019-08-12,1022741316.95
2019-08-09,1491724983.89
2019-08-08,1147358454.1
2019-08-07,1082622931.82
2019-08-06,973228694.23
2019-08-05,3046727770.68
2019-08-02,840964443.86
2019-08-01,964065246.41
2019-07-31,39719207978.58
2019-07-30,4379692807.98
2019-07-29,2521678267.15
2019-07-26,1453699563.76
2019-07-25,15721466506.6
2019-07-24,3677208236.98
2019-07-23,1795988161.17
2019-07-22,6214587715.3
2019-07-19,27569855488.2
2019-07-18,3464898654.94
2019-07-17,1682271430.58
2019-07-16,1227204725.99
2019-07-15,4071393034.34
2019-07-12,1864103997.11
2019-07-11,861229357.93
2019-07-10,2017258047.73
2019-07-09,445646795.23
2019-07-08,803074252.92
2019-07-05,1684210984.17
2019-07-04,910782327.78
2019-07-03,3449286339.87
2019-07-02,1219412547.8
2019-07-01,1134643161.43
2019-06-28,20475556446.5
2019-06-27,3112336599.61
2019-06-26,2076713534.92
2019-06-25,18187810835.15
2019-06-24,2370353875.04
2019-06-21,5224998135.65
2019-06-19,29602994956.29
2019-06-18,3382699492.67
2019-06-17,2181293549.75
2019-06-14,2469126582.8
2019-06-13,2378852497.03
2019-06-12,1039466070.04
2019-06-11,786154551.95
2019-06-10,2102837892.42
2019-06-07,1124722028.66
2019-06-06,940634440.94
2019-06-05,8485609329.31
2019-06-04,745845824.38
2019-06-03,1115016542
2019-05-31,18184145340.16
2019-05-30,2662594697.01
2019-05-29,1448040863.69
2019-05-28,1349604204.13
2019-05-27,1262031546.49
2019-05-24,15706002857.02
2019-05-23,4069002754.76
2019-05-22,1671796382.8
2019-05-21,1510968727.22
2019-05-20,33776670502.78
2019-05-17,2753564378.59
2019-05-16,1800959656.96
2019-05-15,4402123376.03
2019-05-14,1811871537.43
2019-05-13,836670211.32
2019-05-10,1330062695.5
2019-05-09,1256746505.42
2019-05-08,1191433279.89
2019-05-07,1082003094.81
2019-05-06,2920241266.21
2019-05-03,932778576.83
2019-05-02,1496071594.18
2019-04-30,36958382317.25
2019-04-29,5580643124.25
2019-04-26,2001679580.59
2019-04-25,17704077221.89
2019-04-24,4258078779.33
2019-04-23,1614341012.79
2019-04-22,6556992101.86
2019-04-18,24304014116.29
2019-04-17,3748049743.51
2019-04-16,2562457006.07
2019-04-15,4171970500.56
2019-04-12,3495359560.57
2019-04-11,901145901.94
2019-04-10,1696609530.62
2019-04-09,1089572707.69
2019-04-08,2777489959.49
2019-04-05,1137066975.52
2019-04-04,828677696.2
2019-04-03,3226859807.95
2019-04-02,912935449.76
2019-04-01,1036069311.11
2019-03-29,19916930465.65
2019-03-28,2528810746.1
2019-03-27,1367987859.05
2019-03-26,1218240303.47
2019-03-25,18471948443.09
2019-03-22,2031805458.88
2019-03-21,1446975219.03
2019-03-20,28768291138.34
2019-03-19,3226986931.05
2019-03-18,1914985129.33
2019-03-15,2159284050.52
2019-03-14,1249704632.23
2019-03-13,3132503348.42
2019-03-12,1100871175.78
2019-03-11,983403802.35
2019-03-08,1943995901.59
2019-03-07,2931031717.57
2019-03-06,1171581753.95
2019-03-01,781657789.72
2019-02-28,25575149850.71
2019-02-27,2722909618.02
2019-02-26,1412172086.9
2019-02-25,18653361242.6
2019-02-22,1685929501.44
2019-02-21,1294390870.78
2019-02-20,28924271111.06
2019-02-19,3298468027.8
2019-02-18,1593615160.59
2019-02-15,1528642444.99
2019-02-14,1417726409.93
2019-02-13,2630922114.79
2019-02-12,928227669.48
2019-02-11,784923319.3
2019-02-08,1284213817.79
2019-02-07,1350429194.22
2019-02-06,978349933.7
2019-02-05,2873141389.1
2019-02-04,984244664.22
2019-02-01,980732270.7
2019-01-31,48222377738.01
2019-01-30,6718344560.86
2019-01-29,2276193331.24
2019-01-28,2130396779.74
2019-01-25,11596650168.81
2019-01-24,8300665824.36
2019-01-23,3300757555.14
2019-01-22,1622205166.95
2019-01-21,7464691355.87
2019-01-18,29148257857.56
2019-01-17,3189499807.97
2019-01-16,1435876439.06
2019-01-15,5420223141.57
2019-01-14,1478215669.64
2019-01-11,848771621.8
2019-01-10,1802290869.25
2019-01-09,1429618758.14
2019-01-08,838280140.21
2019-01-07,1848436592.1
2019-01-04,5781969737.2
2019-01-03,1082124875.42
2019-01-02,1261204715.58
2018-12-31,3708514601.32
2018-12-28,14388819102.47
2018-12-27,3538556753.46
2018-12-26,5323932834.7
2018-12-24,9642359017.03
2018-12-21,8778784798.86
2018-12-20,38814805309.44
2018-12-19,4361366342.17
2018-12-18,2451302230.62
2018-12-17,2491996178.62
2018-12-14,2911231765.22
2018-12-13,3207080048.87
2018-12-12,1011430522.61
2018-12-11,1389502577.46
2018-12-10,1676950692.92
2018-12-07,1574223589.35
2018-12-06,912332480.18
2018-12-05,8426601959.11
2018-12-04,1563333028.21
2018-12-03,1865570812.42
2018-11-30,25105376064.48
2018-11-29,3292894566.26
2018-11-28,1920704698.44
2018-11-27,1890712089.65
2018-11-26,1562454389.08
2018-11-23,18521540000.5
2018-11-22,1911276822.24
2018-11-21,3792846726.32
2018-11-20,12755237416.65
2018-11-19,16589254244.5
2018-11-16,1505410376.42
2018-11-14,5442472045
2018-11-13,1116270763.52
2018-11-12,990001647.16
2018-11-09,1555905176.23
2018-11-08,716824333.25
2018-11-07,1375277375.19
2018-11-06,3697066318.72
2018-11-05,1183235019.25
2018-11-01,983854990.26
2018-10-31,35449104509.33
2018-10-30,5307822449.61
2018-10-29,2236754236.01
2018-10-26,1191414952.9
2018-10-25,16265185074.29
2018-10-24,3723428977.26
2018-10-23,1475692824.15
2018-10-22,6246370771.11
2018-10-19,24344239099.36
2018-10-18,2701458854.74
2018-10-17,1508063607.42
2018-10-16,3184305920.11
2018-10-15,2839953222.43
2018-10-11,1006567516.97
2018-10-10,1719900577.55
2018-10-09,791131069.18
2018-10-08,962455348.92
2018-10-05,1301658683.96
2018-10-04,970169198.36
2018-10-03,2774247357.32
2018-10-02,1110898441.32
2018-10-01,1035631381.65
2018-09-28,21324114675.35
2018-09-27,2748643444.29
2018-09-26,1668759615.05
2018-09-25,18389167634.21
2018-09-24,2456831682.95
2018-09-21,1706656949.63
2018-09-20,26584145227.97
2018-09-19,4526850413.23
2018-09-18,1603191893.59
2018-09-17,2618956955.74
2018-09-14,1475557094.81
2018-09-13,2421079480.67
2018-09-12,1231688370.05
2018-09-11,787943176.01
2018-09-10,1625387942.99
2018-09-06,1062368860.09
2018-09-05,3529072028.22
2018-09-04,975393299.1
2018-09-03,877217179.15
2018-08-31,20162820834.29
2018-08-30,2474602554
2018-08-29,1620912692.28
2018-08-28,1141993495.6
2018-08-27,1163970348.49
2018-08-24,14466417003.75
2018-08-23,3171694231.37
2018-08-22,1416228019.81
2018-08-21,1222033314.75
2018-08-20,18252480612.24
2018-08-17,1941144504.8
2018-08-16,1179916503.84
2018-08-15,3308056170.8
2018-08-14,2086671699.63
2018-08-13,877049529.13
2018-08-10,1405771737.4
2018-08-09,874508536.82
2018-08-08,835824460.25
2018-08-07,1416194600.55
2018-08-06,991574373
2018-08-03,2385003766.63
2018-08-02,714771882.99
2018-08-01,1037530464.91
2018-07-31,35439226306.37
2018-07-30,4312917769.66
2018-07-27,1703839386.76
2018-07-26,1194961638.53
2018-07-25,18464262121.48
2018-07-24,2128381679.54
2018-07-23,1724110774.5
2018-07-20,17031099909.56
2018-07-19,2595649299.32
2018-07-18,1656265415.65
2018-07-17,1149977899.51
2018-07-16,1361737363.17
2018-07-13,3230628041.26
2018-07-12,1038257378.79
2018-07-11,1018283757.67
2018-07-10,1506631609.78
2018-07-09,1825268181.18
2018-07-06,981365559.53
2018-07-05,1035994211.49
2018-07-04,3056779033.58
2018-07-03,921292350.52
2018-07-02,1549398738.83
2018-06-29,17899108571.19
2018-06-28,2478084922.23
2018-06-27,1162229746.08
2018-06-26,1226757575.67
2018-06-25,18014323530.16
2018-06-22,1336606185.97
2018-06-21,1212396189.93
2018-06-20,17521362453.57
2018-06-19,2289202393.97
2018-06-18,1826031890.39
2018-06-15,1553960531.23
2018-06-14,2383339805.1
2018-06-13,2559014116.03
2018-06-12,849297133.3
2018-06-11,995304066.26
2018-06-08,1319794684.55
2018-06-07,1268076653.45
2018-06-06,1005543748.73
2018-06-05,7745629445.98
2018-06-04,1159302043.36
2018-06-01,647036609.69
2018-05-30,18204940600.78
2018-05-29,2080744312.73
2018-05-28,1327196089.14
2018-05-25,15804968426.24
2018-05-24,1761151815.04
2018-05-23,2473859724.95
2018-05-22,1045002013
2018-05-21,5735863127.16
2018-05-18,13848569154.56
2018-05-17,1919142845.95
2018-05-16,1181132684.18
2018-05-15,4627681982.88
2018-05-14,1165081196.58
2018-05-11,661235039.51
2018-05-10,1369967317.85
2018-05-09,840873132.86
2018-05-08,846504121.03
2018-05-07,1651523838.08
2018-05-04,2315009061.22
2018-05-03,1097571293.15
2018-05-02,1171925997.96
2018-04-30,31560460536.84
2018-04-27,6488541988.42
2018-04-26,2524427288.94
2018-04-25,19948343826.01
2018-04-24,2457748532.45
2018-04-23,1655731352.18
2018-04-20,19005210926.64
2018-04-19,2695290130.63
2018-04-18,1426338990.11
2018-04-17,1258084707.72
2018-04-16,1426224019.33
2018-04-13,6513560242.83
2018-04-12,860381599.05
2018-04-11,921028499.62
2018-04-10,1409743897.12
2018-04-09,1222734075.22
2018-04-06,938842797.82
2018-04-05,773284545.61
