ds;y
2020-12-18;42.425.563.276
2020-12-17;5.753.623.940
2020-12-16;3.291.105.558
2020-12-15;4.860.150.564
2020-12-14;2.580.341.202
2020-12-11;1.190.727.715
2020-12-10;1.743.583.805
2020-12-09;1.454.846.740
2020-12-08;1.820.723.008
2020-12-07;1.678.993.035
2020-12-04;1.545.994.559
2020-12-03;6.170.344.968
2020-12-02;1.362.788.774
2020-12-01;1.676.632.221
2020-11-30;29.950.752.610
2020-11-27;4.182.236.845
2020-11-26;1.762.013.495
2020-11-25;21.681.388.301
2020-11-24;3.468.337.157
2020-11-23;4.335.535.295
2020-11-20;22.468.153.352
2020-11-19;17.234.781.775
2020-11-18;3.052.023.903
2020-11-17;2.036.589.962
2020-11-16;2.785.558.771
2020-11-13;2.414.235.836
2020-11-12;1.703.683.754
2020-11-11;1.421.151.562
2020-11-10;2.556.614.110
2020-11-09;1.268.883.580
2020-11-06;1.353.403.020
2020-11-05;2.644.650.905
2020-11-04;1.402.069.255
2020-11-03;2.025.691.374
2020-10-30;38.788.403.398
2020-10-29;5.565.251.093
2020-10-28;2.851.528.228
2020-10-27;1.930.763.592
2020-10-26;2.054.891.311
2020-10-23;21.779.336.139
2020-10-22;2.759.031.732
2020-10-21;2.053.685.821
2020-10-20;39.988.471.737
2020-10-19;5.553.815.599
2020-10-16;2.039.249.575
2020-10-15;3.945.920.751
2020-10-14;1.606.031.150
2020-10-13;1.872.313.552
2020-10-09;1.638.067.020
2020-10-08;969.068.639
2020-10-07;1.571.380.752
2020-10-06;1.158.183.279
2020-10-05;2.841.637.546
2020-10-02;884.024.773
2020-10-01;1.327.270.949
2020-09-30;24.870.424.428
2020-09-29;3.673.478.089
2020-09-28;2.145.059.633
2020-09-25;16.228.508.846
2020-09-24;2.545.656.039
2020-09-23;2.807.803.049
2020-09-22;1.223.384.385
2020-09-21;8.552.503.294
2020-09-18;26.669.655.834
2020-09-17;3.584.903.752
2020-09-16;2.202.861.712
2020-09-15;2.921.537.677
2020-09-14;2.165.738.575
2020-09-11;1.065.582.374
2020-09-10;1.952.544.802
2020-09-09;1.068.103.492
2020-09-08;1.227.724.841
2020-09-04;1.063.341.006
2020-09-03;2.235.932.081
2020-09-02;1.126.297.544
2020-09-01;1.372.831.177
2020-08-31;23.465.677.602
2020-08-28;3.034.379.362
2020-08-27;1.579.447.012
