6.Dia Arrecadação,2. Valor Arrecadação Bruta Original
18 dez 2020,"42.425.563.276,03"
17 dez 2020,"5.753.623.939,81"
16 dez 2020,"3.291.105.558,16"
15 dez 2020,"4.860.150.564,30"
14 dez 2020,"2.580.341.201,64"
11 dez 2020,"1.190.727.715,36"
10 dez 2020,"1.743.583.805,12"
09 dez 2020,"1.454.846.739,70"
08 dez 2020,"1.820.723.008,29"
07 dez 2020,"1.678.993.034,91"
04 dez 2020,"1.545.994.559,49"
03 dez 2020,"6.170.344.967,66"
02 dez 2020,"1.362.788.773,81"
01 dez 2020,"1.676.632.221,42"
30 nov 2020,"29.950.752.610,35"
27 nov 2020,"4.182.236.844,67"
26 nov 2020,"1.762.013.495,03"
25 nov 2020,"21.681.388.301,43"
24 nov 2020,"3.468.337.157,02"
23 nov 2020,"4.335.535.295,29"
20 nov 2020,"22.468.153.352,40"
19 nov 2020,"17.234.781.775,44"
18 nov 2020,"3.052.023.903,21"
17 nov 2020,"2.036.589.962,20"
16 nov 2020,"2.785.558.771,05"
13 nov 2020,"2.414.235.835,51"
12 nov 2020,"1.703.683.753,77"
11 nov 2020,"1.421.151.562,41"
10 nov 2020,"2.556.614.110,23"
09 nov 2020,"1.268.883.580,02"
06 nov 2020,"1.353.403.019,61"
05 nov 2020,"2.644.650.904,98"
04 nov 2020,"1.402.069.254,83"
03 nov 2020,"2.025.691.374,35"
30 out 2020,"38.788.403.397,74"
29 out 2020,"5.565.251.092,74"
28 out 2020,"2.851.528.227,89"
27 out 2020,"1.930.763.591,85"
26 out 2020,"2.054.891.310,68"
23 out 2020,"21.779.336.138,92"
22 out 2020,"2.759.031.731,53"
21 out 2020,"2.053.685.820,98"
20 out 2020,"39.988.471.737,19"
19 out 2020,"5.553.815.599,36"
16 out 2020,"2.039.249.574,71"
15 out 2020,"3.945.920.750,84"
14 out 2020,"1.606.031.150,15"
13 out 2020,"1.872.313.552,33"
09 out 2020,"1.638.067.020,36"
08 out 2020,"969.068.638,52"
07 out 2020,"1.571.380.752,00"
06 out 2020,"1.158.183.278,94"
05 out 2020,"2.841.637.545,82"
02 out 2020,"884.024.773,32"
01 out 2020,"1.327.270.948,90"
30 set 2020,"24.870.424.427,88"
29 set 2020,"3.673.478.088,61"
28 set 2020,"2.145.059.632,89"
25 set 2020,"16.228.508.845,64"
24 set 2020,"2.545.656.039,38"
23 set 2020,"2.807.803.048,99"
22 set 2020,"1.223.384.385,44"
21 set 2020,"8.552.503.294,08"
18 set 2020,"26.669.655.834,01"
17 set 2020,"3.584.903.751,76"
16 set 2020,"2.202.861.711,86"
15 set 2020,"2.921.537.676,74"
14 set 2020,"2.165.738.574,57"
11 set 2020,"1.065.582.374,05"
10 set 2020,"1.952.544.802,49"
09 set 2020,"1.068.103.492,44"
08 set 2020,"1.227.724.840,98"
04 set 2020,"1.063.341.005,63"
03 set 2020,"2.235.932.080,93"
02 set 2020,"1.126.297.544,31"
01 set 2020,"1.372.831.177,02"
31 ago 2020,"23.465.677.602,06"
28 ago 2020,"3.034.379.361,72"
27 ago 2020,"1.579.447.011,74"
26 ago 2020,"1.719.813.671,20"
25 ago 2020,"20.186.927.490,33"
24 ago 2020,"2.969.721.749,93"
21 ago 2020,"1.497.951.829,69"
20 ago 2020,"37.362.643.260,46"
19 ago 2020,"4.729.542.374,98"
18 ago 2020,"2.152.433.952,24"
17 ago 2020,"2.008.106.270,89"
14 ago 2020,"2.344.115.549,90"
13 ago 2020,"1.759.162.445,53"
12 ago 2020,"1.037.494.640,27"
11 ago 2020,"943.582.851,40"
10 ago 2020,"1.552.157.093,03"
07 ago 2020,"1.075.730.490,23"
06 ago 2020,"1.136.270.530,87"
05 ago 2020,"2.039.439.765,45"
04 ago 2020,"890.888.001,42"
03 ago 2020,"1.398.013.856,59"
31 jul 2020,"28.755.038.748,25"
30 jul 2020,"4.845.827.499,26"
29 jul 2020,"2.189.038.973,26"
28 jul 2020,"1.911.207.331,34"
27 jul 2020,"1.619.978.253,48"
24 jul 2020,"11.513.855.140,92"
23 jul 2020,"3.231.579.907,83"
22 jul 2020,"1.602.731.592,46"
21 jul 2020,"1.347.223.331,90"
20 jul 2020,"30.928.100.196,83"
17 jul 2020,"2.915.997.958,94"
16 jul 2020,"1.633.994.025,20"
15 jul 2020,"2.934.584.577,25"
14 jul 2020,"1.769.984.793,24"
13 jul 2020,"1.164.158.345,37"
10 jul 2020,"1.454.803.136,64"
09 jul 2020,"710.915.562,52"
08 jul 2020,"887.240.496,07"
07 jul 2020,"1.070.700.605,26"
06 jul 2020,"1.049.368.863,38"
03 jul 2020,"2.220.634.974,87"
02 jul 2020,"972.207.532,16"
01 jul 2020,"1.169.197.999,89"
30 jun 2020,"20.470.763.772,81"
29 jun 2020,"4.011.454.507,44"
26 jun 2020,"1.785.130.523,43"
25 jun 2020,"4.878.299.109,87"
24 jun 2020,"3.002.139.193,43"
23 jun 2020,"1.451.736.583,33"
22 jun 2020,"2.081.706.247,49"
19 jun 2020,"18.646.846.315,10"
18 jun 2020,"2.923.126.093,98"
17 jun 2020,"1.479.362.663,91"
16 jun 2020,"1.929.305.466,11"
15 jun 2020,"2.454.506.216,13"
12 jun 2020,"1.155.974.675,25"
10 jun 2020,"1.557.296.886,09"
09 jun 2020,"781.315.908,27"
08 jun 2020,"830.825.972,55"
05 jun 2020,"912.000.230,53"
04 jun 2020,"888.420.272,89"
03 jun 2020,"4.591.127.006,28"
02 jun 2020,"856.692.124,67"
01 jun 2020,"1.290.413.146,56"
29 mai 2020,"15.484.366.804,75"
28 mai 2020,"2.548.962.196,50"
27 mai 2020,"1.355.491.696,03"
26 mai 2020,"1.262.214.705,76"
25 mai 2020,"4.277.508.396,62"
22 mai 2020,"2.701.770.186,21"
21 mai 2020,"1.003.330.419,27"
20 mai 2020,"15.815.791.640,53"
19 mai 2020,"6.698.154.847,19"
18 mai 2020,"1.671.689.955,36"
15 mai 2020,"2.246.492.870,26"
14 mai 2020,"922.842.823,37"
13 mai 2020,"1.922.779.361,53"
12 mai 2020,"950.428.206,79"
11 mai 2020,"935.036.646,08"
08 mai 2020,"1.252.397.317,70"
07 mai 2020,"1.124.120.176,63"
06 mai 2020,"3.493.723.982,54"
05 mai 2020,"1.527.368.969,88"
04 mai 2020,"1.512.536.706,08"
30 abr 2020,"31.361.102.120,57"
29 abr 2020,"3.593.907.833,39"
28 abr 2020,"2.102.318.041,20"
27 abr 2020,"1.860.804.891,95"
24 abr 2020,"6.238.244.108,05"
23 abr 2020,"1.320.942.626,59"
22 abr 2020,"1.934.878.907,25"
20 abr 2020,"21.711.619.599,48"
17 abr 2020,"4.341.064.163,28"
16 abr 2020,"1.604.726.343,92"
15 abr 2020,"5.518.395.187,23"
14 abr 2020,"1.045.793.378,44"
13 abr 2020,"1.276.659.221,45"
09 abr 2020,"1.981.778.070,64"
08 abr 2020,"771.097.639,95"
07 abr 2020,"1.005.451.996,17"
06 abr 2020,"1.006.418.813,02"
03 abr 2020,"2.708.843.266,48"
02 abr 2020,"850.021.009,37"
01 abr 2020,"1.214.050.745,60"
31 mar 2020,"19.877.949.133,53"
30 mar 2020,"3.650.207.442,22"
27 mar 2020,"1.364.206.467,64"
26 mar 2020,"1.059.604.419,43"
25 mar 2020,"12.850.591.415,51"
24 mar 2020,"2.058.016.648,27"
23 mar 2020,"1.836.686.186,38"
20 mar 2020,"30.259.949.077,79"
19 mar 2020,"4.092.347.402,05"
18 mar 2020,"2.670.973.925,60"
17 mar 2020,"1.665.884.511,26"
16 mar 2020,"1.664.331.053,44"
13 mar 2020,"4.395.783.727,57"
12 mar 2020,"1.321.400.047,66"
11 mar 2020,"1.108.548.535,48"
10 mar 2020,"1.457.231.509,80"
09 mar 2020,"1.666.667.457,07"
06 mar 2020,"1.214.852.619,32"
05 mar 2020,"1.111.389.637,53"
04 mar 2020,"2.492.369.337,57"
03 mar 2020,"999.260.559,38"
02 mar 2020,"1.283.969.722,82"
28 fev 2020,"21.821.804.949,61"
27 fev 2020,"5.305.533.029,12"
26 fev 2020,"1.869.815.967,63"
21 fev 2020,"15.558.018.993,26"
20 fev 2020,"34.105.230.999,84"
19 fev 2020,"6.264.926.561,51"
18 fev 2020,"2.296.585.271,44"
17 fev 2020,"2.565.261.066,35"
14 fev 2020,"1.513.058.749,01"
13 fev 2020,"3.206.998.982,50"
12 fev 2020,"1.067.752.747,47"
11 fev 2020,"816.150.213,74"
10 fev 2020,"1.502.581.562,90"
07 fev 2020,"1.416.102.382,86"
06 fev 2020,"935.573.088,43"
05 fev 2020,"3.109.234.236,10"
04 fev 2020,"1.292.001.136,62"
03 fev 2020,"1.265.335.670,71"
31 jan 2020,"55.548.270.091,62"
30 jan 2020,"8.024.634.617,46"
29 jan 2020,"3.351.387.453,82"
28 jan 2020,"2.358.111.116,06"
27 jan 2020,"1.944.475.773,08"
24 jan 2020,"18.498.041.476,42"
23 jan 2020,"4.307.784.556,68"
22 jan 2020,"1.846.217.577,49"
21 jan 2020,"2.439.570.416,18"
20 jan 2020,"34.540.747.758,93"
17 jan 2020,"8.774.488.242,96"
16 jan 2020,"2.101.060.817,48"
15 jan 2020,"5.018.093.330,36"
14 jan 2020,"1.234.492.551,98"
13 jan 2020,"1.373.851.162,16"
10 jan 2020,"1.694.315.100,82"
09 jan 2020,"1.415.214.986,09"
08 jan 2020,"1.293.220.642,07"
07 jan 2020,"1.438.981.631,21"
06 jan 2020,"5.817.665.019,87"
03 jan 2020,"1.152.734.052,62"
02 jan 2020,"1.212.912.823,38"
31 dez 2019,"4.042.789.014,83"
30 dez 2019,"13.237.947.909,87"
27 dez 2019,"4.754.976.882,12"
26 dez 2019,"4.635.507.253,99"
24 dez 2019,"6.646.500.839,76"
23 dez 2019,"9.811.142.515,57"
20 dez 2019,"45.269.393.279,33"
19 dez 2019,"6.491.180.777,95"
18 dez 2019,"3.821.560.785,58"
17 dez 2019,"2.437.698.191,64"
16 dez 2019,"2.425.369.835,49"
13 dez 2019,"5.447.898.919,79"
12 dez 2019,"1.630.802.245,35"
11 dez 2019,"1.401.032.615,86"
10 dez 2019,"1.666.492.220,72"
09 dez 2019,"1.495.456.373,59"
06 dez 2019,"1.639.739.518,11"
05 dez 2019,"1.116.844.846,59"
04 dez 2019,"8.680.048.520,83"
03 dez 2019,"1.403.196.175,14"
02 dez 2019,"1.898.368.094,27"
29 nov 2019,"27.228.101.594,31"
28 nov 2019,"3.233.637.554,58"
27 nov 2019,"1.761.659.522,64"
26 nov 2019,"1.296.599.852,99"
25 nov 2019,"19.887.035.981,25"
22 nov 2019,"2.227.250.923,75"
21 nov 2019,"3.853.003.775,61"
20 nov 2019,"14.485.019.819,26"
19 nov 2019,"18.771.146.495,48"
18 nov 2019,"3.468.853.989,80"
14 nov 2019,"1.963.966.565,36"
13 nov 2019,"3.302.166.700,22"
12 nov 2019,"1.773.810.554,29"
11 nov 2019,"1.040.383.796,81"
08 nov 2019,"1.537.818.826,67"
07 nov 2019,"1.398.413.526,14"
06 nov 2019,"1.066.367.563,21"
05 nov 2019,"3.522.535.404,35"
04 nov 2019,"1.023.502.592,42"
01 nov 2019,"967.984.532,59"
31 out 2019,"34.945.696.449,34"
30 out 2019,"4.889.650.753,12"
29 out 2019,"2.455.776.794,92"
28 out 2019,"1.753.983.430,75"
25 out 2019,"16.060.612.300,31"
24 out 2019,"2.145.713.322,32"
23 out 2019,"3.081.730.202,31"
22 out 2019,"1.363.054.482,09"
21 out 2019,"7.323.840.830,01"
18 out 2019,"27.720.052.170,07"
17 out 2019,"3.305.175.813,96"
16 out 2019,"1.630.087.785,73"
15 out 2019,"4.036.221.791,17"
14 out 2019,"2.189.819.179,67"
11 out 2019,"874.652.254,88"
10 out 2019,"1.467.332.243,75"
09 out 2019,"1.005.165.234,87"
08 out 2019,"1.058.503.183,30"
07 out 2019,"1.617.990.074,96"
04 out 2019,"877.529.806,78"
03 out 2019,"2.640.985.114,93"
02 out 2019,"1.023.418.149,62"
01 out 2019,"1.105.307.913,61"
30 set 2019,"21.682.832.599,84"
27 set 2019,"2.553.134.913,73"
26 set 2019,"1.370.418.118,30"
25 set 2019,"18.044.133.777,68"
24 set 2019,"2.318.153.089,40"
23 set 2019,"2.403.158.295,56"
20 set 2019,"29.490.783.036,00"
19 set 2019,"5.105.198.788,47"
18 set 2019,"1.972.700.395,66"
17 set 2019,"1.221.341.104,99"
16 set 2019,"1.710.160.736,50"
13 set 2019,"4.216.888.188,02"
12 set 2019,"924.609.098,48"
11 set 2019,"1.183.723.323,04"
10 set 2019,"1.426.785.966,54"
09 set 2019,"1.199.387.303,07"
06 set 2019,"978.230.765,34"
05 set 2019,"1.264.459.409,65"
04 set 2019,"3.200.827.701,80"
03 set 2019,"857.409.659,63"
02 set 2019,"1.245.225.073,26"
30 ago 2019,"26.293.127.817,94"
29 ago 2019,"2.989.743.604,05"
28 ago 2019,"1.476.371.713,32"
27 ago 2019,"1.258.214.028,18"
26 ago 2019,"1.369.079.665,86"
23 ago 2019,"17.701.210.643,37"
22 ago 2019,"1.878.391.033,41"
21 ago 2019,"1.667.530.700,24"
20 ago 2019,"32.614.568.752,83"
19 ago 2019,"4.510.158.156,66"
16 ago 2019,"1.511.706.077,56"
15 ago 2019,"1.469.049.967,83"
14 ago 2019,"3.899.887.870,62"
13 ago 2019,"1.002.254.269,10"
12 ago 2019,"1.022.741.316,95"
09 ago 2019,"1.491.724.983,89"
08 ago 2019,"1.147.358.454,10"
07 ago 2019,"1.082.622.931,82"
06 ago 2019,"973.228.694,23"
05 ago 2019,"3.046.727.770,68"
02 ago 2019,"840.964.443,86"
01 ago 2019,"964.065.246,41"
31 jul 2019,"39.719.207.978,58"
30 jul 2019,"4.379.692.807,98"
29 jul 2019,"2.521.678.267,15"
26 jul 2019,"1.453.699.563,76"
25 jul 2019,"15.721.466.506,60"
24 jul 2019,"3.677.208.236,98"
23 jul 2019,"1.795.988.161,17"
22 jul 2019,"6.214.587.715,30"
19 jul 2019,"27.569.855.488,20"
18 jul 2019,"3.464.898.654,94"
17 jul 2019,"1.682.271.430,58"
16 jul 2019,"1.227.204.725,99"
15 jul 2019,"4.071.393.034,34"
12 jul 2019,"1.864.103.997,11"
11 jul 2019,"861.229.357,93"
10 jul 2019,"2.017.258.047,73"
09 jul 2019,"445.646.795,23"
08 jul 2019,"803.074.252,92"
05 jul 2019,"1.684.210.984,17"
04 jul 2019,"910.782.327,78"
03 jul 2019,"3.449.286.339,87"
02 jul 2019,"1.219.412.547,80"
01 jul 2019,"1.134.643.161,43"
28 jun 2019,"20.475.556.446,50"
27 jun 2019,"3.112.336.599,61"
26 jun 2019,"2.076.713.534,92"
25 jun 2019,"18.187.810.835,15"
24 jun 2019,"2.370.353.875,04"
21 jun 2019,"5.224.998.135,65"
19 jun 2019,"29.602.994.956,29"
18 jun 2019,"3.382.699.492,67"
17 jun 2019,"2.181.293.549,75"
14 jun 2019,"2.469.126.582,80"
13 jun 2019,"2.378.852.497,03"
12 jun 2019,"1.039.466.070,04"
11 jun 2019,"786.154.551,95"
10 jun 2019,"2.102.837.892,42"
07 jun 2019,"1.124.722.028,66"
06 jun 2019,"940.634.440,94"
05 jun 2019,"8.485.609.329,31"
04 jun 2019,"745.845.824,38"
03 jun 2019,"1.115.016.542,00"
31 mai 2019,"18.184.145.340,16"
30 mai 2019,"2.662.594.697,01"
29 mai 2019,"1.448.040.863,69"
28 mai 2019,"1.349.604.204,13"
27 mai 2019,"1.262.031.546,49"
24 mai 2019,"15.706.002.857,02"
23 mai 2019,"4.069.002.754,76"
22 mai 2019,"1.671.796.382,80"
21 mai 2019,"1.510.968.727,22"
20 mai 2019,"33.776.670.502,78"
17 mai 2019,"2.753.564.378,59"
16 mai 2019,"1.800.959.656,96"
15 mai 2019,"4.402.123.376,03"
14 mai 2019,"1.811.871.537,43"
13 mai 2019,"836.670.211,32"
10 mai 2019,"1.330.062.695,50"
09 mai 2019,"1.256.746.505,42"
08 mai 2019,"1.191.433.279,89"
07 mai 2019,"1.082.003.094,81"
06 mai 2019,"2.920.241.266,21"
03 mai 2019,"932.778.576,83"
02 mai 2019,"1.496.071.594,18"
30 abr 2019,"36.958.382.317,25"
29 abr 2019,"5.580.643.124,25"
26 abr 2019,"2.001.679.580,59"
25 abr 2019,"17.704.077.221,89"
24 abr 2019,"4.258.078.779,33"
23 abr 2019,"1.614.341.012,79"
22 abr 2019,"6.556.992.101,86"
18 abr 2019,"24.304.014.116,29"
17 abr 2019,"3.748.049.743,51"
16 abr 2019,"2.562.457.006,07"
15 abr 2019,"4.171.970.500,56"
12 abr 2019,"3.495.359.560,57"
11 abr 2019,"901.145.901,94"
10 abr 2019,"1.696.609.530,62"
09 abr 2019,"1.089.572.707,69"
08 abr 2019,"2.777.489.959,49"
05 abr 2019,"1.137.066.975,52"
04 abr 2019,"828.677.696,20"
03 abr 2019,"3.226.859.807,95"
02 abr 2019,"912.935.449,76"
01 abr 2019,"1.036.069.311,11"
29 mar 2019,"19.916.930.465,65"
28 mar 2019,"2.528.810.746,10"
27 mar 2019,"1.367.987.859,05"
26 mar 2019,"1.218.240.303,47"
25 mar 2019,"18.471.948.443,09"
22 mar 2019,"2.031.805.458,88"
21 mar 2019,"1.446.975.219,03"
20 mar 2019,"28.768.291.138,34"
19 mar 2019,"3.226.986.931,05"
18 mar 2019,"1.914.985.129,33"
15 mar 2019,"2.159.284.050,52"
14 mar 2019,"1.249.704.632,23"
13 mar 2019,"3.132.503.348,42"
12 mar 2019,"1.100.871.175,78"
11 mar 2019,"983.403.802,35"
