a;i;e;PIB
4836;1768675231;2747187653;4563
4343;2030100974;2778288879;5793
4418;2248937491;3350391558;8520
5186;2151981505;3634841763;12829
4732;2624852192;3862059965;20504
4930;2498707144;3727904800;33127
4549;2514352437;3738057136;40788
5375;2775732351;4282100334;43873
5672;2641132607;4162083280;43836
5566;3186329072;3842498153;45235
5767;4114517725;3706207709;45926
7244;4523371403;3713547632;44210
7387;3283871691;2980189648;47029
6332;4012483902;2951705224;49955
7646;4721391753;3798681210;60024
6553;3863499716;3393925048;57790
8452;4897139765;4204778920;56351
7429;4896576559;4119904081;56726
6600;4002873561;4004041602;58788
6685;4461347220;4558093534;60950
6772;3687438016;4166886329;60611
6830;4076040237;4405190260;63428
7076;4136940625;4047844579;67763
7628;3932293162;3875041979;66578
7080;3439787016;3472938473;64133
6428;3434791032;3404705497;62202
10228;3876447215;3408143883;62988
7243;4073777083;4271322377;64019
7504;4249152517;4505748028;69489
7284;4167947665;3839945609;71103
7790;4806883178;4458942508;74970
7436;4661593905;4380857474;74799
8049;4748326554;4115239467;71745
7900;5496716406;4187927360;77200
7886;4755666572;3911558859;80449
10304;5634678013;3789398623;81667
8406;2504093419;3680971118;77583
7994;4235121567;3142779857;71073
9387;4704122593;3824075802;70462
9668;5500860548;4624157101;73576
8717;4700069337;4654892460;78111
8600;5181643427;4841600876;81202
9743;5763101187;5235223160;82059
9960;5344127158;5071719487;82133
9079;5406996428;4584627988;81987
9728;5624797022;4785884731;87297
9122;5243733051;3972863432;85390
12283;5276174541;4528699520;81217
11548;4622857964;3907773890;79364
9891;3931179375;3712105426;75828
13909;5155825944;4270735544;80509
12191;4615493237;4573738237;81166
9375;4724393982;4608298209;85208
9016;4687208822;4881133088;85562
10491;5388906387;4966901159;86939
16360;4142618247;3978706756;86371
10154;5720850382;4527631631;84734
9577;5441507310;4010526061;87303
8920;4723126840;3698225717;86317
11712;4442939021;3940827831;83052
10462;3656653414;2947694137;80936
12498;3146813676;3264023488;80929
13350;4044954471;3825933128;88803
11815;3668047437;3701836009;87739
10181;4082515486;4382344317;89223
11239;4456072714;4304074451;91747
13773;4024295455;4112429031;91230
13394;4458078355;4266851497;92283
14065;4229998024;4178479790;90612
12663;4449310431;4298685972;95872
13054;4527405280;3996446244;99563
15022;4437499584;4667111246;98773
14369;3563964133;3446768506;92577
12938;4042867660;4120793391;91770
15503;4444377571;4467447649;92580
13853;3988101957;4170220598;91376
13067;4685763789;5060389264;98727
13594;4590777650;4850102157;102685
14180;4869746498;5000307451;103410
17252;5411079801;5516407914;105178
13788;5053586230;4712628612;100308
15794;5236809870;4634914527;106951
15331;5143726359;4386576044;107678
17145;4860317191;4651790370;105852
17369;4998356002;4533319068;102531
13123;3993395175;4080571675;101635
